temperature,humidity,timestamp,node_id,pressure
24.5,55.2,1740062034,1,1000
24.4,55.4,1740062049,1,999.8
24.4,55.3,1740062064,1,999.5
24.3,55.7,1740062079,1,999.3
24.3,55.8,1740062094,1,999.5
24.2,56.3,1740062109,1,999.5
24.2,56.2,1740062124,1,999.8
24.1,56.6,1740062139,1,999.9
24.0,56.3,1740062154,1,999.8
23.9,56.2,1740062169,1,999.9
23.9,55.8,1740062184,1,1000.1
23.8,55.4,1740062199,1,1000.3
23.8,55.7,1740062214,1,1000.4
23.7,55.3,1740062229,1,1000.2
23.6,54.9,1740062244,1,1000.4
23.6,54.5,1740062259,1,1000.2
23.5,54.8,1740062274,1,1000.2
23.5,55.0,1740062289,1,1000.4
23.4,55.3,1740062304,1,1000.2
23.4,55.4,1740062319,1,1000.1
23.3,54.9,1740062334,1,1000.3
23.3,55.4,1740062349,1,1000.1
23.2,55.1,1740062364,1,1000.3
23.2,54.7,1740062379,1,1000.5
23.1,54.3,1740062394,1,1000.5
23.1,54.0,1740062409,1,1000.4
23.0,54.1,1740062424,1,1000.3
23.0,54.6,1740062439,1,1000.1
22.9,54.6,1740062454,1,1000.1
22.8,54.5,1740062469,1,999.9
22.8,54.9,1740062484,1,999.8
22.7,55.3,1740062499,1,999.9
22.6,55.3,1740062514,1,1000.1
22.6,55.1,1740062529,1,1000.2
22.5,55.4,1740062544,1,1000.2
22.5,55.7,1740062559,1,1000.3
22.4,55.8,1740062574,1,1000.2
22.3,56.0,1740062589,1,1000.5
22.3,55.8,1740062604,1,1000.4
22.2,55.8,1740062619,1,1000.4
22.1,55.5,1740062634,1,1000.2
22.1,55.5,1740062649,1,1000.4
22.0,55.3,1740062664,1,1000.5
22.0,55.3,1740062679,1,1000.7
21.9,55.0,1740062694,1,1000.5
21.9,55.0,1740062709,1,1000.2
21.8,54.6,1740062724,1,1000.0
21.8,54.3,1740062739,1,1000.2
21.7,54.4,1740062754,1,999.9
21.7,54.3,1740062769,1,1000.1
21.6,54.2,1740062784,1,1000.3
21.6,54.0,1740062799,1,1000.1
21.6,54.0,1740062814,1,1000.0
21.5,54.1,1740062829,1,999.9
21.5,54.3,1740062844,1,999.9
21.4,54.0,1740062859,1,1000.1
21.4,54.1,1740062874,1,999.9
21.4,54.3,1740062889,1,999.6
21.3,54.5,1740062904,1,999.9
21.3,54.4,1740062919,1,999.9
21.3,54.4,1740062934,1,1000.2
